Format Version,1.21,Take Name,evo_flight_11,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-07-20 10.57.49 AM,Total Frames in Take,14678,Total Exported Frames,14678,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z
85,0.708333,-0.004587,-0.698436,-0.005001,-0.715640,-0.663205,0.062890,-0.517988
86,0.716667,-0.005124,-0.698472,-0.005012,-0.715602,-0.663208,0.062907,-0.517999
87,0.725000,-0.004642,-0.698498,-0.004814,-0.715581,-0.663201,0.062908,-0.517966
88,0.733333,-0.004676,-0.698585,-0.004790,-0.715495,-0.663214,0.062878,-0.517997
89,0.741667,-0.005293,-0.699021,-0.004882,-0.715065,-0.663312,0.062908,-0.517965
90,0.750000,-0.004166,-0.698423,-0.005323,-0.715653,-0.663213,0.062880,-0.517975
91,0.758333,-0.004428,-0.698365,-0.005771,-0.715704,-0.663230,0.062898,-0.517977
92,0.766667,-0.005041,-0.698371,-0.005308,-0.715699,-0.663227,0.062924,-0.518013
93,0.775000,-0.004588,-0.698464,-0.005197,-0.715612,-0.663222,0.062863,-0.517993
94,0.783333,-0.004987,-0.698501,-0.005264,-0.715572,-0.663249,0.062926,-0.517965
95,0.791667,-0.004739,-0.698456,-0.005540,-0.715615,-0.663243,0.062866,-0.518009
96,0.800000,-0.004240,-0.698445,-0.005046,-0.715634,-0.663214,0.062876,-0.518002
97,0.808333,-0.004632,-0.698309,-0.005463,-0.715760,-0.663212,0.062901,-0.517973
98,0.816667,-0.004660,-0.698402,-0.005096,-0.715672,-0.663215,0.062906,-0.517994
99,0.825000,-0.004199,-0.698453,-0.005262,-0.715624,-0.663226,0.062896,-0.517978
100,0.833333,-0.004094,-0.698383,-0.005105,-0.715694,-0.663214,0.062872,-0.518000
101,0.841667,-0.004580,-0.698441,-0.005217,-0.715634,-0.663220,0.062909,-0.517984
102,0.850000,-0.004646,-0.698415,-0.005430,-0.715658,-0.663266,0.062909,-0.517988
103,0.858333,-0.004496,-0.698363,-0.005676,-0.715707,-0.663231,0.062849,-0.517998
104,0.866667,-0.004227,-0.698349,-0.005502,-0.715724,-0.663229,0.062871,-0.517999
105,0.875000,-0.003836,-0.698340,-0.005398,-0.715736,-0.663186,0.062891,-0.517970
106,0.883333,-0.004401,-0.698524,-0.005200,-0.715554,-0.663222,0.062925,-0.517966
107,0.891667,-0.004444,-0.698247,-0.005705,-0.715820,-0.663215,0.062866,-0.517979
108,0.900000,-0.004421,-0.698388,-0.005167,-0.715687,-0.663222,0.062898,-0.517996
109,0.908333,-0.004507,-0.698392,-0.005386,-0.715681,-0.663221,0.062874,-0.518007
110,0.916667,-0.004207,-0.698396,-0.005135,-0.715681,-0.663212,0.062870,-0.517982
111,0.925000,-0.004144,-0.698361,-0.005192,-0.715715,-0.663211,0.062873,-0.517980
112,0.933333,-0.004608,-0.698379,-0.005327,-0.715693,-0.663236,0.062859,-0.517992
113,0.941667,-0.005023,-0.698426,-0.005272,-0.715645,-0.663236,0.062917,-0.517988
114,0.950000,-0.004890,-0.698485,-0.005261,-0.715588,-0.663278,0.062862,-0.518005
115,0.958333,-0.004416,-0.698309,-0.005186,-0.715764,-0.663206,0.062904,-0.517965
116,0.966667,-0.004453,-0.698411,-0.005324,-0.715663,-0.663192,0.062863,-0.517971
117,0.975000,-0.004162,-0.698296,-0.005317,-0.715778,-0.663216,0.062867,-0.517996
118,0.983333,-0.004644,-0.698467,-0.005202,-0.715609,-0.663258,0.062903,-0.517991
119,0.991667,-0.004395,-0.698394,-0.005537,-0.715679,-0.663196,0.062942,-0.517976
120,1.000000,-0.004884,-0.698507,-0.005206,-0.715567,-0.663191,0.062944,-0.517974
121,1.008333,-0.004725,-0.698552,-0.005213,-0.715525,-0.663227,0.062913,-0.517960
122,1.016667,-0.004851,-0.698475,-0.005254,-0.715599,-0.663231,0.062865,-0.517996
123,1.025000,-0.004555,-0.698399,-0.005267,-0.715675,-0.663220,0.062885,-0.518013
124,1.033333,-0.005032,-0.699119,-0.004504,-0.714973,-0.663315,0.062834,-0.517960
125,1.041667,-0.004100,-0.698287,-0.005550,-0.715785,-0.663229,0.062845,-0.518012
126,1.050000,-0.004244,-0.698297,-0.005374,-0.715775,-0.663191,0.062889,-0.517971
127,1.058333,-0.004640,-0.698489,-0.005370,-0.715586,-0.663234,0.062873,-0.517980
128,1.066667,-0.004771,-0.698362,-0.005245,-0.715710,-0.663252,0.062854,-0.518048
129,1.075000,-0.004968,-0.698460,-0.005282,-0.715613,-0.663236,0.062969,-0.517999
130,1.083333,-0.005188,-0.698408,-0.005449,-0.715661,-0.663199,0.062932,-0.517987
131,1.091667,-0.004756,-0.698429,-0.005155,-0.715645,-0.663226,0.062892,-0.517997
132,1.100000,-0.004150,-0.698383,-0.005409,-0.715692,-0.663224,0.062857,-0.518002
133,1.108333,-0.004518,-0.698425,-0.005326,-0.715649,-0.663214,0.062890,-0.517980
134,1.116667,-0.004227,-0.698495,-0.005061,-0.715585,-0.663252,0.062845,-0.517981
135,1.125000,-0.004891,-0.698596,-0.005238,-0.715481,-0.663228,0.062915,-0.517988
136,1.133333,-0.004566,-0.698420,-0.005142,-0.715655,-0.663227,0.062927,-0.517979
137,1.141667,-0.004230,-0.698377,-0.005630,-0.715695,-0.663234,0.062923,-0.517988
138,1.150000,-0.004661,-0.698312,-0.005387,-0.715758,-0.663211,0.062868,-0.518013
139,1.158333,-0.004788,-0.698466,-0.005183,-0.715609,-0.663232,0.062875,-0.518001
140,1.166667,-0.004711,-0.698451,-0.005743,-0.715619,-0.663201,0.062918,-0.517956
141,1.175000,-0.005289,-0.698478,-0.005519,-0.715591,-0.663259,0.062880,-0.518013
142,1.183333,-0.004884,-0.698395,-0.005436,-0.715675,-0.663200,0.062912,-0.517995
143,1.191667,-0.004206,-0.698208,-0.005684,-0.715860,-0.663196,0.062897,-0.517984
144,1.200000,-0.004510,-0.698366,-0.005337,-0.715707,-0.663197,0.062926,-0.517956
145,1.208333,-0.004137,-0.698351,-0.005558,-0.715722,-0.663258,0.062856,-0.518022
146,1.216667,-0.004422,-0.698386,-0.005264,-0.715688,-0.663218,0.062840,-0.517978
147,1.225000,-0.004633,-0.698339,-0.005173,-0.715733,-0.663205,0.062919,-0.517972
148,1.233333,-0.004167,-0.698394,-0.005192,-0.715682,-0.663197,0.062919,-0.517966
149,1.241667,-0.004525,-0.698392,-0.005395,-0.715681,-0.663224,0.062903,-0.518008
150,1.250000,-0.004474,-0.698494,-0.004865,-0.715586,-0.663209,0.062923,-0.517991
151,1.258333,-0.004678,-0.698303,-0.005307,-0.715768,-0.663196,0.062900,-0.517987
152,1.266667,-0.004632,-0.698411,-0.005331,-0.715662,-0.663216,0.062892,-0.518012
153,1.275000,-0.004593,-0.698399,-0.005487,-0.715673,-0.663245,0.062907,-0.518011
154,1.283333,-0.004533,-0.698315,-0.005208,-0.715758,-0.663213,0.062858,-0.517986
155,1.291667,-0.004767,-0.698450,-0.005283,-0.715623,-0.663247,0.062870,-0.517999
156,1.300000,-0.004398,-0.698270,-0.005521,-0.715800,-0.663205,0.062937,-0.517971
157,1.308333,-0.004688,-0.698393,-0.005328,-0.715679,-0.663228,0.062903,-0.517996
158,1.316667,-0.005172,-0.698448,-0.005045,-0.715625,-0.663208,0.062940,-0.517965
159,1.325000,-0.004705,-0.698592,-0.005018,-0.715487,-0.663204,0.062880,-0.518034
160,1.333333,-0.004351,-0.698456,-0.005191,-0.715621,-0.663241,0.062927,-0.517983
161,1.341667,-0.004564,-0.698588,-0.005028,-0.715492,-0.663230,0.062884,-0.517979
162,1.350000,-0.005086,-0.698328,-0.005735,-0.715737,-0.663220,0.062921,-0.517998
163,1.358333,-0.004876,-0.698514,-0.005198,-0.715561,-0.663239,0.062884,-0.518018
164,1.366667,-0.005019,-0.698429,-0.005194,-0.715643,-0.663256,0.062910,-0.518011
165,1.375000,-0.004740,-0.698480,-0.004905,-0.715597,-0.663249,0.062877,-0.518019
166,1.383333,-0.005233,-0.698450,-0.004885,-0.715623,-0.663214,0.062894,-0.517996
167,1.391667,-0.004428,-0.698459,-0.005263,-0.715617,-0.663222,0.062890,-0.517999
168,1.400000,-0.004640,-0.698417,-0.005177,-0.715657,-0.663234,0.062911,-0.517987
